"Sample","Description","Treatment","Time","Donor"
"GSM7841265","Ctrl 30 min 1 [5958-NP-1]","Ctrl","30 min","1"
"GSM7841266","Hb2+ 30 min 1 [5958-NP-2]","Hb2+","30 min","1"
"GSM7841267","Hb3+ 30 min 1 [5958-NP-3]","Hb3+","30 min","1"
"GSM7841268","Hemin 30 min 1 [5958-NP-4]","Hemin","30 min","1"
"GSM7841269","Ctrl 1.5 hr 1 [5958-NP-5]","Ctrl","1.5 hr","1"
"GSM7841270","Hb2+ 1.5 hr 1 [5958-NP-6]","Hb2+","1.5 hr","1"
"GSM7841271","Hb3+ 1.5 hr 1 [5958-NP-7]","Hb3+","1.5 hr","1"
"GSM7841272","Hemin 1.5 hr 1 [5958-NP-8]","Hemin","1.5 hr","1"
"GSM7841273","Ctrl 30 min 2 [5958-NP-9]","Ctrl","30 min","2"
"GSM7841274","Hb2+ 30 min 2 [5958-NP-10]","Hb2+","30 min","2"
"GSM7841275","Hb3+ 30 min 2 [5958-NP-11]","Hb3+","30 min","2"
"GSM7841276","Hemin 30 min 2 [5958-NP-12]","Hemin","30 min","2"
"GSM7841277","Ctrl 1.5 hr 2 [5958-NP-13]","Ctrl","1.5 hr","2"
"GSM7841278","Hb2+ 1.5 hr 2 [5958-NP-14]","Hb2+","1.5 hr","2"
"GSM7841279","Hb3+ 1.5 hr 2 [5958-NP-15]","Hb3+","1.5 hr","2"
"GSM7841280","Hemin 1.5 hr 2 [5958-NP-16]","Hemin","1.5 hr","2"
"GSM7841281","Ctrl 30 min 3 [5958-NP-17]","Ctrl","30 min","3"
"GSM7841282","Hb2+ 30 min 3 [5958-NP-18]","Hb2+","30 min","3"
"GSM7841283","Hb3+ 30 min 3 [5958-NP-19]","Hb3+","30 min","3"
"GSM7841284","Hemin 30 min 3 [5958-NP-20]","Hemin","30 min","3"
"GSM7841285","Ctrl 1.5 hr 3 [5958-NP-21]","Ctrl","1.5 hr","3"
"GSM7841286","Hb2+ 1.5 hr 3 [5958-NP-22]","Hb2+","1.5 hr","3"
"GSM7841287","Hb3+ 1.5 hr 3 [5958-NP-23]","Hb3+","1.5 hr","3"
"GSM7841288","Hemin 1.5 hr 3 [5958-NP-24]","Hemin","1.5 hr","3"
