"","GSM614501","GSM614502","GSM614503","GSM614504","GSM614505","GSM614506","GSM614507","GSM614508","GSM614509","GSM614510","GSM614511","GSM614512","GSM614513","GSM614514","GSM614515","GSM614516","GSM614517","GSM614518","GSM614519","GSM614520","GSM614521","GSM614522","GSM614523","GSM614524"
"1007_s_at",1234.19,1309.2,1383.13,1210.23,1248.48,1100.03,1648.95,1579.4,1354.36,1497.1,1465.93,1308.84,1324.99,1150.65,1153.63,1063.35,1135.31,1231.71,1564.5,1487.67,1421.34,1562.85,1336.44,1477.15
"1053_at",585.673,620.879,507.292,566.525,548.032,599.705,528.505,495.872,547.602,567.817,606.108,670.413,707.39,474.961,643.769,593.143,716.17,789.672,727.391,643.203,564.824,602.009,574.664,754.336
"117_at",61.0709,11.6177,12.9877,68.753,20.8543,46.6007,19.2514,53.9686,60.7547,46.1085,43.7889,11.1542,62.5491,39.9991,36.8776,38.513,27.1016,61.9527,36.5658,7.91642,18.9696,22.8551,34.3594,33.2857
"121_at",439.667,403.174,478.026,452.884,319.736,395.435,471.04,498.05,535.474,487.31,620.513,655.533,341.366,479.823,339.253,398.085,350.039,482.306,570.442,590.896,555.166,553.903,434.848,468.242
"1255_g_at",37.0715,39.1376,21.8136,26.4638,24.2933,50.7775,47.0077,11.1519,8.05777,26.5941,45.4999,35.343,46.0592,23.8845,7.45304,59.1285,7.56544,38.6232,50.3224,28.9087,26.0726,10.9297,45.7153,30.706
"1294_at",644.83,572.549,581.812,539.803,607.311,546.575,661.122,696.956,720.169,656.273,721.456,683.456,624.665,611.455,520.569,627.662,697.295,636.241,827.775,713.404,729.39,791.103,691.833,681.685
"1316_at",116.727,169.18,171.201,129.023,87.7868,112.152,179.487,155.119,143.679,139.655,134.975,111.631,134.391,176.759,101.736,175.682,129.142,166.85,141.866,199.245,128.558,118.703,184.463,118.488
"1320_at",130.858,144.073,158.301,43.1601,111.321,133.921,100.673,126.292,136.207,122.36,94.6819,149.747,156.712,142.41,196.819,135.605,186.893,141.339,98.2698,120.689,125.273,116.153,77.8989,119.574
"1405_i_at",53.8351,33.1807,60.638,59.4059,34.1372,41.6923,14.7909,23.5122,2.9391,5.24257,4.7041,5.08,55.3185,62.9806,47.7075,71.6421,52.1135,64.8275,4.99948,6.32239,5.66495,1.76236,17.2042,2.20479
"1431_at",44.576,41.9264,69.1244,27.283,40.7475,61.8345,26.2924,35.6185,28.6159,17.5631,42.0637,52.8859,20.2158,37.2405,40.3121,56.1947,65.4715,59.5826,5.77039,39.534,47.9129,31.7532,5.86583,26.1185
